School ID	Term Code	Course Registration Number
911099532	2203	2323
911099532	2203	2328
911099532	2203	6170
911099532	2203	10364
911151675	2203	3271
911151675	2203	3275
911151675	2203	5211
911159943	2203	2009
911159943	2203	2014
911159943	2203	5417
911159943	2203	7541
911160281	2203	2735
911160281	2203	6004
911160281	2203	7775
911160281	2203	7777
911245444	2203	4992
911245444	2203	10758
911253816	2203	2113
911253816	2203	5433
911253816	2203	6686
911253816	2203	7108
911253816	2203	7982
910960224	2203	10216
910960224	2203	10870
910971261	2203	6686
910971261	2203	6802
910971261	2203	10451
911370231	2203	10621
911393657	2203	1691
911393657	2203	9492
911393657	2203	9744
911419930	2203	9467
911419930	2203	10970
911517794	2203	6742
911523631	2203	2113
911523631	2203	5433
911523631	2203	7108
911523631	2203	10455
911523631	2203	10461
911585225	2203	5448
911585225	2203	6005
911585225	2203	6148
911590347	2203	9619
911623211	2203	3009
911623211	2203	5205
911623211	2203	6749
911623211	2203	9371
911623211	2203	10266
911628775	2203	5582
911628775	2203	7555
911628775	2203	8431
911628775	2203	10537
911628775	2203	10568
911690759	2203	10392
911690759	2203	10426
911695218	2203	2707
911695218	2203	2708
911695218	2203	2709
911695218	2203	3874
911695218	2203	3875
911695218	2203	9273
911733815	2203	1644
911761830	2203	1416
911761830	2203	1417
911761830	2203	5388
911761830	2203	9348
911761830	2203	10579
911786127	2203	9548
911733815	2203	6720
911733815	2203	8145
911733815	2203	9713
911733815	2203	9714
911800752	2203	3524
911800752	2203	5543
911800752	2203	5669
911863529	2203	1386
911863529	2203	1391
911863529	2203	9324
911863529	2203	9325
911863529	2203	9370
911884381	2203	2006
911884381	2203	6712
911884381	2203	9466
911884381	2203	9764
911885629	2203	1008
911885629	2203	5656
911885629	2203	8475
911885629	2203	9206
911934873	2203	10717
911934873	2203	10725
911934873	2203	10726
911934873	2203	10729
911934873	2203	10730
912019672	2203	3091
912019672	2203	6135
912019672	2203	6945
912019672	2203	7090
912019672	2203	9212
912278541	2203	2562
912278541	2203	3090
912278541	2203	7070
912278541	2203	9434
912089911	2203	1003
912106564	2203	3492
912106564	2203	5174
912106564	2203	8313
912169640	2203	10620
912193820	2203	3634
912193820	2203	3642
912193820	2203	3644
912193820	2203	9991
912214906	2203	2598
912214906	2203	6544
912245534	2203	3531
912245534	2203	5669
912288460	2203	1455
912288460	2203	10928
912288460	2203	10929
912303566	2203	1881
912303566	2203	6568
912303566	2203	9556
912303566	2203	9575
912303566	2203	9597
912324964	2203	2011
912324964	2203	4347
912324964	2203	7564
912324964	2203	8848
912462387	2203	2548
912462387	2203	4347
912462387	2203	6314
912462387	2203	6701
912214906	2203	7421
912214906	2203	10090
912214906	2203	10434
912361572	2203	2701
912375300	2203	7569
912375300	2203	9548
912416965	2203	9497
912416965	2203	9525
912416965	2203	9534
912451142	2203	1883
912451142	2203	5638
912451142	2203	8851
912451142	2203	9437
912550566	2203	3436
912550566	2203	3437
912550566	2203	3450
912550566	2203	5378
912352056	2203	3610
912352056	2203	6781
912352056	2203	8310
912352056	2203	10993
912361572	2203	6632
912361572	2203	7514
912361572	2203	8119
912470018	2203	10817
912645726	2203	2443
912645726	2203	6955
912645726	2203	10126
912645726	2203	10127
912646376	2203	1455
912657998	2203	1090
912657998	2203	2731
912657998	2203	6868
912671492	2203	2766
912671492	2203	2767
912698376	2203	3002
912698376	2203	5039
912698376	2203	8021
912698376	2203	9371
912698376	2203	10266
912703667	2203	2203
912703667	2203	10181
912740223	2203	2942
912740223	2203	7108
912740223	2203	8624
912759645	2203	2891
912817157	2203	6297
912817157	2203	6345
912646376	2203	8303
912759645	2203	10999
912913968	2203	2562
912913968	2203	9323
912913968	2203	9324
912913968	2203	9325
912913968	2203	9326
912913968	2203	9327
912928567	2203	9119
912928567	2203	9600
913006099	2203	5265
913006099	2203	5266
913006099	2203	7073
913006099	2203	7564
913012105	2203	3537
913012105	2203	5237
913012105	2203	5304
913026236	2203	1711
913026236	2203	1721
913026236	2203	4592
913029525	2203	3451
913029525	2203	4908
913029525	2203	5378
913029525	2203	5387
913029525	2203	5884
913029694	2203	1627
913029694	2203	1645
913029694	2203	5657
913029694	2203	6003
913029694	2203	6766
913061323	2203	6185
913061323	2203	6867
913067472	2203	1325
913067472	2203	1330
913067472	2203	1331
913084814	2203	3602
913084814	2203	8028
913084814	2203	8325
913084814	2203	10238
913087167	2203	2203
913095214	2203	5198
913095214	2203	5965
913095214	2203	5971
913105159	2203	2994
913105159	2203	5780
913067472	2203	7627
913087167	2203	10181
913147266	2203	1320
913147266	2203	1321
913147266	2203	1330
913157653	2203	1007
913157653	2203	2979
913157653	2203	9273
913180598	2203	6107
913180598	2203	10155
913180598	2203	11035
913207235	2203	2895
913207235	2203	7497
913207235	2203	8672
913207235	2203	9910
913231012	2203	1734
913249017	2203	2111
913249017	2203	2935
913249017	2203	5443
913249017	2203	7756
913251305	2203	3669
913251305	2203	9231
913251305	2203	9232
913251305	2203	9483
913266593	2203	9493
913266593	2203	9494
913266593	2203	9556
913275589	2203	3454
913275589	2203	8585
